라사파, 59, 146
사아라, 93, 170
하아사, 87, 189
다타라, 84, 184
사바사, 66, 155
타바바, 63, 152
파하바, 50, 151
다다라, 74, 171
다다타, 56, 167
타바타, 56, 198
하다카, 78, 195
마나아, 92, 160
자타마, 74, 192
카카자, 42, 190
타마카, 80, 156
사타사, 81, 180
다카아, 93, 148
마타마, 71, 150
다라타, 76, 174
마아하, 57, 195
타자타, 80, 143
자타아, 42, 178
카타사, 87, 151
나아카, 81, 199
파타바, 57, 174
하아카, 86, 144
하바마, 73, 179
바파타, 61, 175
라바파, 66, 172
라사가, 87, 196
자마카, 45, 173
파하바, 62, 192
아마마, 44, 196
가바타, 96, 192
파다사, 77, 153
나바다, 93, 189
파아하, 86, 181
파아타, 88, 166
타나파, 90, 140
마하마, 71, 198
아파아, 97, 159
라타카, 75, 167
자카사, 67, 157
다나마, 49, 166
마자사, 51, 155
마카라, 97, 180
마다아, 88, 163
바라라, 74, 167
파타파, 84, 180
다다하, 41, 155
가타나, 73, 179
가다마, 83, 154
라카타, 41, 148
바라타, 50, 163
사라타, 81, 147
사하마, 84, 194
바사가, 95, 179
바마마, 89, 177
카마아, 42, 141
파하하, 62, 172
카다바, 45, 196
라나나, 86, 186
카라파, 56, 146
나카마, 41, 167
사사파, 73, 184
카자다, 46, 194
파카카, 58, 146
라타사, 64, 141
마가파, 94, 193
파라타, 73, 143
사타사, 53, 188
아타가, 71, 176
타바마, 51, 173
다사카, 87, 148
사타다, 98, 164
아나사, 61, 142
타사가, 64, 184
자하자, 40, 169
하바타, 40, 167
나파카, 95, 140
자아하, 97, 191
바파아, 82, 147
나자파, 44, 183
마마사, 43, 189
자자타, 72, 181
타마아, 53, 150
바사자, 69, 158
마마가, 53, 176
타카다, 83, 146
파타하, 57, 177
타가바, 95, 184
아가자, 91, 193
가다파, 81, 158
사바카, 96, 196
라아타, 55, 151
카아파, 66, 190
다마바, 48, 144
가카마, 86, 151
사가가, 54, 177
파나가, 48, 187
파라바, 58, 172
아라타, 88, 175
마아마, 48, 154
나나라, 50, 152
아바라, 49, 196
다가파, 59, 157
가나자, 76, 190
타카아, 90, 158
다나마, 73, 155
아다자, 72, 161
사가자, 77, 157
나마타, 71, 145
라사사, 48, 172
가다자, 99, 147
바다바, 57, 178
라나바, 59, 150
라사라, 73, 195
나타바, 63, 153
나나가, 40, 146
카타카, 84, 145
사바다, 50, 140
타아가, 75, 178
하나다, 86, 166
바타카, 90, 158
나바아, 61, 152
사카마, 84, 146
파파가, 71, 144
타아타, 88, 144
바타카, 73, 162
파라타, 71, 147
하아바, 65, 168
아사바, 77, 141
다카아, 79, 175
마하하, 86, 159
다파마, 90, 173
마바타, 66, 183
하사타, 83, 184
카바파, 99, 191
아라바, 48, 184
다타사, 89, 176
가하바, 83, 190
라나하, 96, 169
자타나, 50, 189
타아하, 53, 173
나라아, 62, 193
아라바, 77, 175
나타아, 85, 194
나다파, 81, 188
아사파, 50, 171
아마자, 41, 148
바하카, 51, 172
아아라, 90, 191
카자나, 53, 152
타가가, 83, 160
타타라, 90, 189
자하파, 97, 161
사하하, 90, 186
가라파, 71, 195
카타나, 44, 194
아라라, 63, 147
나하카, 94, 177
카바자, 90, 175
라카바, 74, 153
가하파, 90, 190
아아카, 70, 151
자나사, 52, 191
타카하, 64, 165
가가마, 69, 174
타나타, 90, 188
나타카, 55, 158
타아라, 76, 193
타나가, 75, 193
자타다, 53, 190
타나사, 87, 193
하타나, 84, 179
파하라, 47, 145
타자나, 58, 140
하바파, 51, 197
타하다, 70, 148
바사가, 63, 144
자파가, 99, 175
다타라, 55, 181
바나라, 86, 144
가아파, 58, 177
가타바, 53, 194
마마바, 80, 187
카나사, 73, 178
마다마, 89, 154
마카가, 99, 167
아타하, 83, 186
타자다, 59, 178
파카나, 47, 191
타다가, 77, 140
타타하, 61, 176
바하카, 65, 166
아카사, 77, 158
라다다, 71, 198
마하가, 79, 194
파파바, 66, 184
바라가, 71, 182
카하라, 71, 149
자마아, 51, 192
파자사, 95, 188
사타하, 46, 152
라마자, 96, 165
아타가, 80, 163
나타파, 77, 172
라아타, 49, 163
바라라, 71, 177
다자하, 81, 196
타파바, 75, 192
아다나, 60, 146
마다라, 83, 140
하타사, 63, 176
마가하, 48, 183
타나파, 78, 198
다나아, 49, 157
타아아, 46, 174
아타다, 92, 149
다하아, 44, 195
마카사, 82, 164
파마다, 45, 198
카가아, 68, 196
라다타, 41, 158
자나하, 82, 156
바타자, 60, 169
파타라, 99, 190
카사사, 67, 155
카타바, 61, 176
타다카, 75, 197
나바마, 90, 184
나사자, 90, 195
카사자, 46, 179
아바바, 79, 198
마다타, 50, 156
아마타, 70, 188
사파카, 52, 174
라다자, 73, 195
마마라, 83, 171
카타사, 85, 187
자파바, 59, 162
다마나, 53, 186
자마아, 75, 188
라가자, 74, 164
나다사, 87, 150
자타가, 88, 147
다하마, 58, 180
자하하, 88, 148
가파가, 72, 145
바파타, 46, 179
아아바, 80, 175
바파바, 41, 175
가타나, 58, 158
아타아, 83, 140
마타아, 72, 186
파마아, 93, 188
마타아, 45, 179
나타자, 86, 146
자다카, 64, 146
아바아, 89, 149
다자카, 84, 194
가사타, 63, 199
파자카, 69, 161
바아가, 88, 168
아다가, 77, 156
타타하, 47, 168
자아다, 92, 157
바하자, 90, 144
카파타, 74, 187
바가가, 59, 150
마다자, 52, 176
자다타, 61, 154
다라가, 95, 148
사마다, 70, 143
나나나, 80, 156
카사가, 97, 175
사카하, 89, 157
아자아, 64, 188
바사마, 58, 175
하사가, 40, 145
바하아, 56, 198
타타가, 59, 183
카나파, 77, 143
파라라, 75, 189
자사가, 43, 198
라카사, 94, 161
라하나, 50, 162
바타파, 40, 170
사바사, 46, 149
다라마, 93, 172
타파바, 65, 185
가자사, 99, 197
나아아, 45, 188
타다다, 59, 141
사나아, 76, 143
마가마, 55, 160
아아타, 46, 194
라사라, 58, 150
마가타, 69, 188
하자마, 70, 181
나타나, 85, 156
하카파, 77, 195
라타카, 58, 192
파바파, 84, 140
다다하, 61, 161
자마가, 97, 169
라사라, 86, 192
파아바, 83, 146
하자가, 99, 152
마하카, 65, 142
아하자, 68, 183
다가다, 49, 183
타자다, 91, 193
아마아, 47, 180
카나하, 98, 183
파파사, 57, 145
나나나, 48, 140
하마라, 83, 169
타사아, 83, 140
타카하, 58, 194
